"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemOwners","ItemName_en-US","ItemName_zh-Hans"
"H018-HR 日常事务-其它如解除劳动合同等-RHQ","custom","H018","F01","True","","",""
"H019-HR 日常事务-其它如解除劳动合同等-工厂","custom","H019","F01","True","","",""
"I001-进口类-与GF的合作协议","custom","I001","F06","False","","",""
"I002-进口类-进口产品线下订单加盖公章","custom","I002","F06","True","","",""
"I003-进口类-与进口业务相关的资料报关报检的通关单据等);向外经贸商检海关农业部商务部海事边检提交的相关文件进口许可证申请进口报告及情况说明登轮证及介绍信","custom","I003","F06","True","","",""
"L001-法务类-诉讼类文件（服务合同， 法律流程性文件（诉讼案件涉及的法定代表人身份证明、授权委托书、起诉状、答辩状等）","custom","L001","F08","True","","","L001-法务类-诉讼类文件（服务合同， 法律流程性文件（诉讼案件涉及的法定代表人身份证明、授权委托书、起诉状、答辩状等）"
"L002-法务类-行政类案件处理用印非诉讼","custom","L002","F08","True","","",""
"L003-法务类-行政类案件处理用印非诉讼 > 100K","custom","L003","F08","True","","",""
"L004-法务类-授权委托书授权函承诺函委托书等非诉讼如销售授权等","custom","L004","F08;F11","True","","",""
"M001-市场类-产品上下市通知,客户调查表等","custom","M001","F05","True","","",""
"M002-市场类-注册类文件用印商品专利知识产权等","custom","M002","F05","True","","",""
"M003-市场类-一般业务往来函件","custom","M003","F05","True","","",""
"O001-工厂日常(工务行政仓储EHS其他工厂日常)","custom","O001","F03","False","","",""
"O002-工厂品保业务用印(公章)，如产品检验报告","custom","O002","F15","True","","","O002-工厂品保业务用印(公章)，如产品检验报告"
"O003-总部品保业务用章（公章），如产品检验报告等","custom","O003","F15","True","","","O003-总部品保业务用章（公章），如产品检验报告等"
"P001-土地与工程项目-土地证照办理备案表对外函件","custom","P001","F07","True","","",""
"P002-不动产出租/出售/土地竞标买卖","custom","P002","F07","True","","",""
"PR01-采购类-中标通知书-工厂非标","custom","PR01","F09","False","","",""
"PR02-采购类-中标通知书-工厂","custom","PR02","F09","True","","","PR02-采购类-中标通知书-工厂"
"PR03-采购类-中标通知书-RHQ非标","custom","PR03","F09","False","","",""
"PR04-采购类-中标通知书-RHQ标准","custom","PR04","F09","False","","",""
"PR05-采购类-供应商沟通函-RHQ不涉及金额","custom","PR05","F09","True","","",""
"PR06-采购类-供应商沟通函-RHQ涉及金额","custom","PR06","F09","True","","",""
"PR07-采购类-供应商沟通函-工厂不涉及金额","custom","PR07","F09","True","","",""
"PR08-采购类-供应商沟通函-工厂涉及金额","custom","PR08","F09","True","","",""
"Q001-保证金入金-银行到期货公司 (总金额 < 600,000)","custom","Q001","F14","True","","",""
"Q002-保证金入金-银行到期货公司 (总金额 ≥ 600,000)","custom","Q002","F14","True","","",""
"Q003-保证金出金-期货公司到银行","custom","Q003","F14","True","","",""
"S001-销售类-销售办公室租房合同","custom","S001","F11","True","","",""
"S002-销售类-销售办公室租房合同需财务审批","custom","S002","F11","False","","",""
"S003-销售类-非常规销售合同","custom","S003","F11","False","","",""
"S004-销售类-非常规销售合同 (金额超10万)","custom","S004","F11","False","","",""
"S005-销售类-总部电商协议用印","custom","S005","F11","False","","",""
"S006-销售类-总部电商协议用印 (涉及付款)","custom","S006","F11","False","","",""
"S007-销售类-电商协议用印 (金额超10万涉及付款)","custom","S007","F11","False","","",""
"S008-销售类-标准经销商年度合同签署","custom","S008","F11","True","","","S008-销售类-标准经销商年度合同签署"
"S009-销售类-DSR协议盖章","custom","S009","F11","True","","",""
"T001-银行借款和股东贷款,借款合同仍在有效期,附属的抵押物合同过期银行账户,关联企业资金往来(非HQ)提取融资贷款/贷款贷款归还,关联公司借款合同","custom","T001","F04","True","","","T001-银行借款和股东贷款,借款合同仍在有效期,附属的抵押物合同过期银行账户,关联企业资金往来(非HQ)提取融资贷款/贷款贷款归还,关联公司借款合同"
"T002-关联企业资金往来-RHQ","custom","T002","F04","False","","",""
"T003-银行借款融资和股东贷款-投资融资担保业务合同文件等","custom","T003","F04","False","","",""
"T004-银行借款融资和股东贷款-担保合同以外的融资合同协议银行融资授信前期资料准备和贷后资料的补充","custom","T004","F04","False","","",""
"H021-员工日常事务-薪资相关-西北","custom","H021","F01","False","","",""
"H020-员工日常事务-薪资相关-东北","custom","H020","F01","False","","",""
"H022-员工日常事务-薪资相关-华北","custom","H022","F01","False","","",""
"H023-员工日常事务-薪资相关-华南","custom","H023","F01","False","","",""
"H024-员工日常事务-薪资相关-华中","custom","H024","F01","False","","",""
"H025-员工日常事务-非薪资相关-东北","custom","H025","F01","False","","",""
"H026-员工日常事务-非薪资相关-西北","custom","H026","F01","False","","",""
"H027-员工日常事务-非薪资相关-华北","custom","H027","F01","False","","",""
"H028-员工日常事务-非薪资相关-华南","custom","H028","F01","False","","",""
"H029-员工日常事务-非薪资相关-华中","custom","H029","F01","False","","",""
"PR10-关联公司合同-采购方提交-RHQ","custom","PR10","F09","True","","","PR10-关联公司合同-采购方提交-RHQ"
"PR11-关联公司合同-采购方提交-工厂","custom","PR11","F09","True","","","PR11-关联公司合同-采购方提交-工厂"
"T007-银行预留信息变更（公司信息的变更和更新，如法定代表人姓名、更换新USB密钥、联系人变更等。）","custom","T007","F04","True","","","T007-银行预留信息变更（公司信息的变更和更新，如法定代表人姓名、更换新USB密钥、联系人变更等。）"
"S015-销售类-非常规销售合同-销售白面块","custom","S015","F11","True","","","S015-销售类-非常规销售合同-销售白面块"
"S016-销售类-非常规销售合同-出售资产","custom","S016","F11","False","","","S016-销售类-非常规销售合同-出售资产"
"S017-销售类-非常规销售合同-出售资产 - 内部公司","custom","S017","F11","False","","","S017-销售类-非常规销售合同-出售资产 - 内部公司"
"S018-销售类-非常规销售合同-出售资产 - 出租不动产","custom","S018","F11","False","","","S018-销售类-非常规销售合同-出售资产 - 出租不动产"
"F015-政府部门统计资料","custom","F015","F02","True","","","F015-政府部门统计资料"
"O005-代工产品生产订单-已拆分","custom","O005","F03","False","","","O005-代工产品生产订单-已拆分"
"T008-资金管理-银行借款和股东贷款-新增、续展和修改","custom","T008","F04","True","","","T008-资金管理-银行借款和股东贷款-新增、续展和修改"
"T009-资金管理-提取贷款-超过12个月期限","custom","T009","F04","True","","","T009-资金管理-提取贷款-超过12个月期限"
"T010-资金管理-提取贷款-低于包括12个月期限及票 据贴现","custom","T010","F04","True","","","T010-资金管理-提取贷款-低于包括12个月期限及票 据贴现"
"T011-资金管理-贷款归还(包括股东借款)-到期归还","custom","T011","F04","True","","","T011-资金管理-贷款归还(包括股东借款)-到期归还"
"T012-资金管理-贷款归还(包括股东借款)-提前归还","custom","T012","F04","True","","","T012-资金管理-贷款归还(包括股东借款)-提前归还"
"T013-资金管理-外汇交易-货币兑换","custom","T013","F04","True","","","T013-资金管理-外汇交易-货币兑换"
"G025-证照变更(专业证照)","custom","G025","F13","True","","","G025-证照变更(专业证照)"
"O006-代工产品生产订单-电商代工","custom","O006","F03","True","","","O006-代工产品生产订单-电商代工"
"O007-代工产品生产订单-市场部代工产品","custom","O007","F03","True","","","O007-代工产品生产订单-市场部代工产品"
"F016-保险索赔资料","custom","F016","F03","True","","","F016-保险索赔资料"
"G026-非常规销售合同/出售资产","custom","G026","F13","True","","","G026-非常规销售合同/出售资产"
"G027--非常规销售合同/出售资产(≥100K)","custom","G027","F13","True","","","G027--非常规销售合同/出售资产(≥100K)"
"PR12-采购合同解除-直接采购","custom","PR12","F09","True","","","PR12-采购合同解除-直接采购"
"PR13-采购合同解除-间接采购","custom","PR13","F09","True","","","PR13-采购合同解除-间接采购"
"O008-政府或行政事业单位往来函件-常规","custom","O008","F03","True","","","O008-政府或行政事业单位往来函件-常规"
"O009-政府或行政事业单位往来函件-非常规","custom","O009","F03","True","","","O009-政府或行政事业单位往来函件-非常规"
"S019-业务往来函件(如经销商沟通函)","custom","S019","F11","True","","","S019-业务往来函件(如经销商沟通函)"
"H030-区域人事类招聘平台合同<5k","custom","H030","F01","True","","","H030-区域人事类招聘平台合同<5k"
"T014-银行服务类协议以及一般情况说明","custom","T014","F04","True","","","T014-银行服务类协议以及一般情况说明"
"T015-资金借贷业务项下的中国国内关联企业间资金转移、清理往来款","custom","T015","F04","True","","","T015-资金借贷业务项下的中国国内关联企业间资金转移、清理往来款"
"T016-外汇交易-外汇管制类信息和业务","custom","T016","F04","True","","","T016-外汇交易-外汇管制类信息和业务"
"T017-外汇交易-外汇掉期产品","custom","T017","F04","True","","","T017-外汇交易-外汇掉期产品"
"T018-外汇交易-外汇远期套保合约","custom","T018","F04","True","","","T018-外汇交易-外汇远期套保合约"
"T019-结构性融资贸易和其项下对应的贸易(第一次进行此业务)","custom","T019","F04","True","","","T019-结构性融资贸易和其项下对应的贸易(第一次进行此业务)"
"T020-结构性融资贸易和其项下对应的贸易(核准后再次进行此业务)","custom","T020","F04","True","","","T020-结构性融资贸易和其项下对应的贸易(核准后再次进行此业务)"
"T021-银行借款和股东贷款-新增、续展和修改","custom","T021","F04","True","","","T021-银行借款和股东贷款-新增、续展和修改"
"F017-审计合同","custom","F017","F02","True","","","F017-审计合同"
"F018-财税咨询合同","custom","F018","F02","True","","","F018-财税咨询合同"
